,0.0,1.0,2.0,3.0,4.0,accuracy,macro avg,weighted avg,cohen
precision,0.0,0.0,0.5870069605568445,0.47772020725388603,0.44644194756554306,0.5212121212121212,0.3022338230752547,0.35056044984444235,0.3586215903729607
recall,0.0,0.0,0.7981072555205048,0.7846808510638298,0.7587523870146403,0.5212121212121212,0.46830809871979495,0.5212121212121212,0.3586215903729607
f1-score,0.0,0.0,0.6764705882352942,0.5938808373590982,0.5621315727422778,0.5212121212121212,0.36649659966733406,0.4181066722088599,0.3586215903729607
support,2406.0,588.0,3170.0,1175.0,1571.0,0.5212121212121212,8910.0,8910.0,0.3586215903729607
,0.0,1.0,2.0,3.0,4.0,accuracy,macro avg,weighted avg,cohen
precision,1.0,0.10955056179775281,0.8278463648834019,0.46934548467274234,0.0,0.32996632996632996,0.4813484822707794,0.6336890742433148,0.2276279839976243
recall,0.022443890274314215,0.9285714285714286,0.3807570977917981,0.9642553191489361,0.0,0.32996632996632996,0.45920554715729545,0.32996632996632996,0.2276279839976243
f1-score,0.04390243902439024,0.19597989949748745,0.5216076058772688,0.63137364168292,0.0,0.32996632996632996,0.2785727172164133,0.293628012211625,0.2276279839976243
support,2406.0,588.0,3170.0,1175.0,1571.0,0.32996632996632996,8910.0,8910.0,0.2276279839976243
,0.0,1.0,2.0,3.0,4.0,accuracy,macro avg,weighted avg,cohen
precision,0.43254051778572933,0.0,0.5279187817258884,0.9680365296803652,0.0,0.48787878787878786,0.3856991658383966,0.43228259778203815,0.26360660770049027
recall,0.8541147132169576,0.0,0.6561514195583596,0.1804255319148936,0.0,0.48787878787878786,0.3381383329380422,0.48787878787878786,0.26360660770049027
f1-score,0.5742629593405059,0.0,0.5850914205344585,0.30416068866571017,0.0,0.48787878787878786,0.2927030137081349,0.40334515066775534,0.26360660770049027
support,2406.0,588.0,3170.0,1175.0,1571.0,0.48787878787878786,8910.0,8910.0,0.26360660770049027
,0.0,1.0,2.0,3.0,4.0,accuracy,macro avg,weighted avg,cohen
precision,0.9956896551724138,0.0,0.9382716049382716,0.5819477434679335,0.2266743815998843,0.320314253647587,0.5485166770357006,0.7193989169548135,0.17913308789507554
recall,0.09600997506234414,0.0,0.023974763406940065,0.8340425531914893,0.9974538510502864,0.320314253647587,0.39029622854221196,0.320314253647587,0.17913308789507554
f1-score,0.17513267626990145,0.0,0.04675484466318056,0.6855543896467297,0.3694012258368694,0.320314253647587,0.2553686272833362,0.21946552304290623,0.17913308789507554
support,2406.0,588.0,3170.0,1175.0,1571.0,0.320314253647587,8910.0,8910.0,0.17913308789507554
,0.0,1.0,2.0,3.0,4.0,accuracy,macro avg,weighted avg,cohen
precision,0.9703947368421053,0.24479166666666666,0.46846304380550957,0.5508913168487637,0.21875,0.49595959595959593,0.49065815283260905,0.5560817769924655,0.27760503783650725
recall,0.12261014131338321,0.07993197278911565,0.9817034700315458,0.8153191489361702,0.004455760661998727,0.49595959595959593,0.4008040987464427,0.49595959595959593,0.27760503783650725
f1-score,0.21771217712177127,0.1205128205128205,0.6342606746153062,0.6575154426904599,0.008733624454148471,0.49595959595959593,0.3277469478789013,0.3806492193407181,0.27760503783650725
support,2406.0,588.0,3170.0,1175.0,1571.0,0.49595959595959593,8910.0,8910.0,0.27760503783650725
,0.0,1.0,2.0,3.0,4.0,accuracy,macro avg,weighted avg,cohen
precision,1.0,0.75,0.36672836649699214,0.8857142857142857,0.0,0.3850729517396184,0.6004885304422556,0.5668061961290406,0.050179815036217934
recall,0.0943474646716542,0.00510204081632653,1.0,0.026382978723404255,0.0,0.3850729517396184,0.225166496842277,0.3850729517396184,0.050179815036217934
f1-score,0.17242688947968096,0.010135135135135136,0.5366514305061791,0.0512396694214876,0.0,0.3850729517396184,0.15409062490849657,0.2449169699015048,0.050179815036217934
support,2406.0,588.0,3170.0,1175.0,1571.0,0.3850729517396184,8910.0,8910.0,0.050179815036217934
,0.0,1.0,2.0,3.0,4.0,accuracy,macro avg,weighted avg,cohen
precision,0.8860045146726863,0.0,0.5438927694921654,0.7156549520766773,0.5471014492753623,0.6421997755331089,0.5385307371033783,0.6235979671261883,0.49331570149480997
recall,0.6525353283458022,0.0,0.908832807570978,0.9531914893617022,0.09611712285168682,0.6421997755331089,0.5221353496260338,0.6421997755331089,0.49331570149480997
f1-score,0.7515557683101963,0.0,0.6805243888035903,0.8175182481751825,0.16350839198700595,0.6421997755331089,0.482621359455195,0.5817015843410931,0.49331570149480997
support,2406.0,588.0,3170.0,1175.0,1571.0,0.6421997755331089,8910.0,8910.0,0.49331570149480997
,0.0,1.0,2.0,3.0,4.0,accuracy,macro avg,weighted avg,cohen
precision,0.817351598173516,0.0,0.7813487881981033,0.940279542566709,0.35025858015984956,0.5975308641975309,0.5778477018196356,0.684456598848538,0.47639301619405827
recall,0.669576059850374,0.0,0.46782334384858043,0.6297872340425532,0.9484404837683005,0.5975308641975309,0.5431254243019616,0.5975308641975309,0.47639301619405827
f1-score,0.7361206305688827,0.0,0.585240726124704,0.7543323139653415,0.5115879828326181,0.5975308641975309,0.5174563306983092,0.5966739089678298,0.47639301619405827
support,2406.0,588.0,3170.0,1175.0,1571.0,0.5975308641975309,8910.0,8910.0,0.47639301619405827
,0.0,1.0,2.0,3.0,4.0,accuracy,macro avg,weighted avg,cohen
precision,0.554266563547306,0.0,0.6651411136536994,0.8643122676579925,0.9285714285714286,0.6407407407407407,0.6024582746860853,0.6640196757531875,0.4933814674266934
