,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,cohen,auprc
precision,0.6372832369942196,0.0,0.0,0.6380563929774783,0.6380116959064327,0.3188349074929245,0.6311557006401513,0.09579750414636734,0.3188349074929245
recall,0.09791296625222025,0.0,0.0,0.9801144102424407,0.6380116959064327,0.26950684412366527,0.6380116959064327,0.09579750414636734,0.3188349074929245
f1-score,0.16974595842956122,0.0,0.0,0.7729323308270677,0.6380116959064327,0.23566957231415722,0.537961985772688,0.09579750414636734,0.3188349074929245
support,4504.0,103.0,21.0,7342.0,0.6380116959064327,11970.0,11970.0,0.09579750414636734,0.3188349074929245
,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,cohen,auprc
precision,0.6345077378992426,0.3333333333333333,0.0,0.8895299507890718,0.759983291562239,0.46434275550541193,0.7872251531766823,0.526682046626026,0.46434275550541193
recall,0.855683836589698,0.009708737864077669,0.0,0.7139743938981205,0.759983291562239,0.39484174208797407,0.759983291562239,0.526682046626026,0.46434275550541193
f1-score,0.7286821705426356,0.018867924528301886,0.0,0.7921420476010579,0.759983291562239,0.38492303566799885,0.7602201174467347,0.526682046626026,0.46434275550541193
support,4504.0,103.0,21.0,7342.0,0.759983291562239,11970.0,11970.0,0.526682046626026,0.46434275550541193
,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,cohen,auprc
precision,0.4752777172729253,0.0,0.0,0.9497847919655668,0.5857978279030911,0.356265627309623,0.7614010677701293,0.2714165185984093,0.356265627309623
recall,0.9689165186500888,0.0,0.0,0.36066466902751293,0.5857978279030911,0.3323952969194004,0.5857978279030911,0.2714165185984093,0.356265627309623
f1-score,0.63773198889376,0.0,0.0,0.5228035538005923,0.5857978279030911,0.2901338856735881,0.5606322949023762,0.2714165185984093,0.356265627309623
support,4504.0,103.0,21.0,7342.0,0.5857978279030911,11970.0,11970.0,0.2714165185984093,0.356265627309623
,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,cohen,auprc
precision,0.9757914338919925,0.0,0.0,0.6716226138032305,0.6989139515455305,0.41185351192380576,0.7791159439258858,0.26187435978458573,0.41185351192380576
recall,0.23268206039076378,0.0,0.0,0.9967311359302642,0.6989139515455305,0.307353299080257,0.6989139515455305,0.26187435978458573,0.41185351192380576
f1-score,0.3757619218357835,0.0,0.0,0.8025002741528676,0.6989139515455305,0.2945655489971628,0.6336164334819318,0.26187435978458573,0.41185351192380576
support,4504.0,103.0,21.0,7342.0,0.6989139515455305,11970.0,11970.0,0.26187435978458573,0.41185351192380576
,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,cohen,auprc
precision,0.7333192567567568,1.0,0.0,0.8566293377575004,0.8078529657477026,0.6474871486285643,0.8099617819756058,0.6001026477283438,0.6474871486285643
recall,0.7710923623445826,0.009708737864077669,0.0,0.8439117406701171,0.8078529657477026,0.40617821021969436,0.8078529657477026,0.6001026477283438,0.6474871486285643
f1-score,0.7517316017316018,0.01923076923076923,0.0,0.8502229845626071,0.8078529657477026,0.40529633888124456,0.8045210573173405,0.6001026477283438,0.6474871486285643
support,4504.0,103.0,21.0,7342.0,0.8078529657477026,11970.0,11970.0,0.6001026477283438,0.6474871486285643
,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,cohen,auprc
precision,0.9595959595959596,1.0,0.0,0.6768117286814512,0.7050125313283208,0.6591019220693527,0.7848096837092244,0.2812491693931827,0.6591019220693527
recall,0.2531083481349911,0.04854368932038835,0.0,0.9934622718605285,0.7050125313283208,0.32377857732897697,0.7050125313283208,0.2812491693931827,0.6591019220693527
f1-score,0.40056219255094866,0.09259259259259259,0.0,0.8051216954578067,0.7050125313283208,0.324569120150337,0.6453527686163514,0.2812491693931827,0.6591019220693527
support,4504.0,103.0,21.0,7342.0,0.7050125313283208,11970.0,11970.0,0.2812491693931827,0.6591019220693527
,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,cohen,auprc
precision,1.0,0.0,0.0,0.6174417626776554,0.6199665831244778,0.40436044066941385,0.7549922657961025,0.021032063184644678,0.40436044066941385
recall,0.017539964476021314,0.0,0.0,1.0,0.6199665831244778,0.2543849911190053,0.6199665831244778,0.021032063184644678,0.40436044066941385
f1-score,0.03447523456251364,0.0,0.0,0.7634794363853793,0.6199665831244778,0.19948866773697324,0.481265035790394,0.021032063184644678,0.40436044066941385
support,4504.0,103.0,21.0,7342.0,0.6199665831244778,11970.0,11970.0,0.021032063184644678,0.40436044066941385
,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,cohen,auprc
precision,0.6869416460748907,0.0,0.0,0.8670442688925324,0.7878863826232247,0.3884964787418558,0.7902944190585031,0.5678551541111478,0.3884964787418558
recall,0.8023978685612788,0.0,0.0,0.7922909289022065,0.7878863826232247,0.39867219936587134,0.7878863826232247,0.5678551541111478,0.3884964787418558
f1-score,0.740194572452637,0.0,0.0,0.8279837733969113,0.7878863826232247,0.39204458646238705,0.7863737024734169,0.5678551541111478,0.3884964787418558
support,4504.0,103.0,21.0,7342.0,0.7878863826232247,11970.0,11970.0,0.5678551541111478,0.3884964787418558
,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,cohen,auprc
precision,0.8712797619047619,0.0,0.0,0.6847355543007717,0.7056808688387636,0.3890038290513834,0.747833958838372,0.2878012137926339,0.3890038290513834
recall,0.2599911190053286,0.0,0.0,0.9910106238082267,0.7056808688387636,0.31275043570338884,0.7056808688387636,0.2878012137926339,0.3890038290513834
